"Report number","Report date","President","President last name","Administration","Location","Purpose/Mission","Purpose detail","Military activity","Military activity detail","Type of enemy or mission","Type of enemy or mission detail","Hostilities/imminent hostilities reported 4(a)(1)","Combat-equipped introduction reported 4(a)(2)","Substantial enlargement reported 4(a)(3)","48-Hour WPR Report Trigger","Domestic Legal Authority","Domestic Legal Authority detail","Estimated scope and duration","Estimated scope and duration detail","Stated scope and duration","Actual scope and duration","Joint/Coalition Mission","Joint/Coalition Mission Details","Claimed International Legal Basis","Claimed International Legal Basis Detail","US casualties","US casualties detail","Non-US casualties","Non-U.S. casualties detail","Article 51 Report to UN","Article 51 detail","Link to Article 51 Report to UN","Related reports","Report file"
"19831025A","1983-10-25","Ronald Reagan","Reagan","First Term","[""Grenada""]","[""Stabilization""]","""[O]ur objectives... are to join the OECS collective security forces in assisting the restoration of conditions of law and order and of governmental institutions to the island of Grenada, and to facilitate the protection and evacuation of United States citizens.""","[""Air operations"",""Use of naval forces/vessels"",""Use of ground forces""]","Deployment of ""approximately 1,900 United States Army and United States Marine Corps personnel ... supported by elements of the United States Navy and the United States Air Force""","[""Other""]","Assistance to stabilize Grenada","Insufficient information to infer from report","Yes, described in/inferred from report","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Constitution (Art. II)""]","""This deployment of United States Armed Forces is being undertaken pursuant to my constitutional authority with respect to the conduct of foreign relations and as Commander-in-Chief of the United States Armed Forces.""","Mission-bound but indeterminate","""it is not possible at this time to predict the duration of the temporary presence of United States Armed Forces in Grenada...Our forces will remain only so long as their presence is required.""","No","Unknown","Yes","""Member States of the OECS [Organization of Eastern Caribbean States] along with Jamaica and Barbados""","[""Unknown""]",,"Unknown",,"Unknown",,"Not applicable because no self-defense claim",,,,"//assets.ctfassets.net/6hn51hpulw83/4ddof6vd8z4M04z99mGqty/21d4489328d8026be0a0491bbde7bb07/19831025-Reagan.pdf"
"19860326A","1986-03-26","Ronald Reagan","Reagan","Second Term","[""Gulf of Sidra""]","[""Respond to threat""]","In response to attacks ""by Libya"" on U.S. forces conducting freedom of navigation exercises in the Gulf of Sidra, ""U.S. forces took limited measures of self-defense necessary to protect themselves from continued attack.""","[""Air operations"",""Use of naval forces/vessels""]","""The United States fired missiles at Libyan vessels and at Sirte, the missile site""","[""Nation-state""]","Libya","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""The deployment of these United States Armed Forces and the measures taken by them in self-defense during this incident were undertaken pursuant to my authority under the Constitution, including my authority as Commander-in-Chief of U.S. Armed Forces.""","Scope/duration specified","3/24/1986 8AM EST to 3/25 12:20AM EST","Yes","1-2 days","No",,"[""Self-Defense""]","""The deployment of these United States Armed Forces and the measures taken by them in self-defense...""","No",,"Unknown",,"Yes","S/17938","https://digitallibrary.un.org/record/114536?ln=en",,"//assets.ctfassets.net/6hn51hpulw83/3CJYCaqXYPbuH1gTckRVgb/25a4aceabd3e240e6ba7d504180a042d/19860326-Reagan.pdf"
"19860416A","1986-04-16","Ronald Reagan","Reagan","Second Term","[""Libya""]","[""Respond to threat""]","""a preemptive strike, directed against the Libyan terrorist infrastructure and designed to deter acts of terrorism by Libya, such as the Libyan-ordered bombing of a discotheque in West Berlin on April 5""","[""Air operations"",""Use of naval forces/vessels""]","U.S. air and naval forces conducted bombing strikes on terrorist facilities and military installations in Libya","[""Nation-state""]","Libya","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""These self-defense measures were undertaken pursuant to my authority under the Constitution, including my authority as Commander in Chief of United States Armed Forces.""","Scope/duration specified","4/14/1986 7PM EST to 7:30PM EST","Yes","1-2 days","No",,"[""Self-Defense""]","""These strikes were conducted in the exercise of our right of self-defense under Article 51 of the United Nations Charter. This necessary and appropriate action was a preemptive strike, directed against the Libyan terrorist infrastructure and designed to deter acts of terrorism by Libya.""","Unknown","""One F-111 with its two crew members is missing""","Unknown",,"Yes","S/17990","https://digitallibrary.un.org/record/115584?ln=en",,"//assets.ctfassets.net/6hn51hpulw83/5RtGrjjrAodgjcCsXlG3Uk/35cec2f95dd6f3cd0ca7da999d24b545/19860416-Reagan.pdf"
"19870924A","1987-09-24","Ronald Reagan","Reagan","Second Term","[""Persian Gulf""]","[""Respond to threat""]","Respond to threat from ""Iranian landing craft... engaging in nighttime minelaying near U.S. forces in international waters of the Persian Gulf. This hostile action posed a direct threat to the safety of U.S. warships and other U.S.-flag vessels.""","[""Air operations"",""Use of naval forces/vessels""]","""[T]wo U.S. helicopters operating off the USS JARRETT engaged the Iranian vessel, which subsequently resumed its minelaying activities. Thereupon, the helicopters re-engaged... disabling it with rocket and machine gun fire""","[""Nation-state""]","Iran","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""These limited defensive actions have been taken... pursuant to my constitutional authority with respect to the conduct of foreign relations and as Commander-in-Chief.""","Scope/duration specified","Activity occurred Sept. 22, 1987","Yes","1-2 days","No",,"[""Self-Defense""]","""These actions taken by U.S. forces were conducted in the exercise of our right of self-defense under Article 51 of the United Nations Charter.""","No",,"Yes","""Three [Iranian navy] crewmen were found dead on the vessel""; 26 ""survivors were recovered from the water and from lifeboats and taken to U.S. naval ships for examination and medical treatment;"" ""Two members of the crew of the IRAN AJR are believed missing""","Yes","S/19149","https://digitallibrary.un.org/record/141695?ln=en","[""19871010A"",""19871020A"",""19880419A"",""19880704A"",""19880714A""]","//assets.ctfassets.net/6hn51hpulw83/6jQZssq0Eqfiq6cVl3rtML/361651187d7ab405cb9ebdc8c03ef885/19870924-Reagan.pdf"
"19871010A","1987-10-10","Ronald Reagan","Reagan","Second Term","[""Persian Gulf""]","[""Respond to threat""]","Respond to fire on three U.S. ""helicopters... on routine nighttime patrol over international waters of the Persian Gulf... by three (possibly four) small Iranian naval vessels.""","[""Air operations""]","""the helicopters returned fire with rockets and machine guns. Three Iranian vessels were hit, and one of them subsequently sank.""","[""Nation-state""]","Iran","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""The limited defensive action described above was taken... pursuant to my constitutional authority with respect to the conduct of foreign relations and as Commander-in-Chief.""","Scope/duration specified","Activity occurred Oct. 8, 1987","Yes","1-2 days","No",,"[""Self-Defense""]","""The limited defensive action described above was taken in accordance with our right of self-defense under Article 51 of the United Nations Charter...""","No","""U.S. forces... sustained no damage or casualties""","Yes","U.S. patrol boats... recovered six Iranian crewmen from the water""; ""two of the crewmen subsequently died.... Two of them are seriously injured""","Yes","S/19194","https://digitallibrary.un.org/record/144483?ln=en","[""19870924A"",""19871020A"",""19880419A"",""19880704A"",""19880714A""]","//assets.ctfassets.net/6hn51hpulw83/5gwyzTzHXyCZlbNZq6YA6o/ff5eb0b80169c3030b6f971297f6e8bf/19871010-Reagan.pdf"
"19871020A","1987-10-20","Ronald Reagan","Reagan","Second Term","[""Persian Gulf""]","[""Respond to threat""]","In response to Iranian missile striking U.S.-flag tanker in Kuwaiti territorial waters, U.S. Navy vessels destroyed ""Rashadat platform"" (""believed [to be] the source of fire"" of Oct. 8 attack on U.S. helicopter) in ""international waters""","[""Use of naval forces/vessels""]","U.S. Navy ships fired on and destroyed ""Rashadat Platform, an armed platform equipped with radar and communications devices"" that is used ""to stage helicopter and small boat attacks and to support mine-laying operations ... in the Persian Gulf""; ""Additionally, U.S. forces briefly boarded another platform in the area""","[""Nation-state""]","Iran","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""These restrained and measured actions by U.S. forces were taken at my specific direction ... pursuant to my constitutional authority with respect to the conduct of foreign relations and as Commander in Chief.""","Scope/duration specified","Activity occurred Oct. 19, 1987 ","Yes","1-2 days","No",,"[""Self-Defense""]","""These restrained and measured actions by U.S. forces were taken... in accordance with our inherent right of self-defense, as recognized in Article 51 of the United Nations Charter...""","No",,"Unknown","Attacked platform ""after warning Iranian naval personnel and allowing them to depart""","Yes","S/19219","https://digitallibrary.un.org/record/146338?ln=en","[""19870924A"",""19871010A"",""19880419A"",""19880704A"",""19880714A""]","//assets.ctfassets.net/6hn51hpulw83/2HWypEgwHmS83EnZMJscr5/d2e16be23b290c84e4ef35749e6ee67d/19871020-Reagan.pdf"
"19880419A","1988-04-19","Ronald Reagan","Reagan","Second Term","[""Persian Gulf""]","[""Respond to threat""]","After USS ROBERTS struck mine ""in international waters of the Persian Gulf,"" series of attacks and counter-attacks involving U.S. vessels and aircraft, a U.S.-flagged vessel, oil platforms ""used to support unlawful Iranian attacks on non-belligerent shipping,"" Iranian vessels, and Iranian aircraft.","[""Use of naval forces/vessels"",""Air operations""]","In response to USS ROBERTS striking a mine, U.S. forces ""attacked and effectively neutralized the Sassan and Sirri Platforms""; in response to an Iranian attack on an oil rig and U.S.-flag vessel, ""U.S. A-6 aircraft attacked three Iranian Boghammar small boats, sinking at least one""; In response to a further attack, ""U.S. Forces severely damaged or sank the Iranian vessels. Iranian F - 4 fighters also approached the USS SIMPSON and the USS WAINWRIGHT in a threatening manner; the SIMPSON and WAINWRIGHT fired at the aircraft, causing their retreat.""","[""Nation-state""]","Iran","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""These necessary and proportionate actions by U.S. Armed Forces were taken at my specific direction... pursuant to my constitutional authority with respect to the conduct of foreign relations and as Commander in Chief.""","Scope/duration specified","Activity occurred April 18, 1988; ""We have completed these self-defense actions and consider the matter closed.""","Yes","1-2 days","No",,"[""Self-Defense""]","""These necessary and proportionate actions by U.S. Armed Forces were taken... in in the exercise of our inherent right of self-defense, recognized in Article 51 of the United Nations Charter...""","Yes","10 servicemembers injured; one helicopter with two crew members listed as missing","Yes","""U.S. A - 6 aircraft attacked three Iranian Boghammar small boats, sinking at least one""; ""Subsequently... U.S. Forces severely damaged or sank [three] Iranian vessels.""","Yes","S/19791","https://digitallibrary.un.org/record/160708?ln=en","[""19870924A"",""19871010A"",""19871020A"",""19880704A"",""19880714A""]","//assets.ctfassets.net/6hn51hpulw83/4iTelC9pUhVK5rPTGcPM34/6eeca927a747b2e47fcc2fbb2a45cebf/19880419-Reagan.pdf"
"19880704A","1988-07-04","Ronald Reagan","Reagan","Second Term","[""Persian Gulf""]","[""Respond to threat""]","Respond to threat by Iranian ""small boats"" after helicopter from U.S. vessel on ""investigative patrol in international airspace"" is ""fired on by Iranian small boats""","[""Use of naval forces/vessels""]","""[T]he USS VINCENNES and USS ELMER MONTGOMERY were operating in international waters of the Persian Gulf near the Strait of Hormuz""; a helicopter from the VINCENNES approached and ""was fired on by Iranian small boats"" which ""turned toward and began closing in on the American warships. At this time, both American ships opened fire on the small craft, sinking two and damaging a third. Regrettably... an Iranian civilian airliner \[believed to be a hostile Iranian military aircraft] was shot down by the VINCENNES""","[""Nation-state""]","Iran","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""The actions of U.S. forces in response to being attacked by Iranian small boats were taken... pursuant to my constitutional authority with respect to the conduct of foreign  relations and as Commander in Chief.""","Scope/duration specified","Activity occured July 3, 1988; ""we regard this incident as closed.""","Yes","1-2 days","No",,"[""Self-Defense""]","""The actions of U.S. forces in response to being attacked by Iranian small boats were taken in accordance with our inherent right of self-defense, as recognized in Article 51 of the United Nations Charter...""","No",,"Yes","""Regrettably, in the course of the U.S. response to the Iranian attack, an Iranian civilian airliner was shot down by the [USS] VINCENNES, which was firing in self defense at what it believed to be a hostile Iranian military aircraft. We deeply regret the tragic loss of life that occurred. The Defense Department will conduct a full investigation.""","Yes","S/19989","https://digitallibrary.un.org/record/42096?ln=en","[""19870924A"",""19871010A"",""19871020A"",""19880419A"",""19880714A""]","//assets.ctfassets.net/6hn51hpulw83/63FYHQvTITtsZUKIcrlRkA/c3bda01fa3b8289833981bdd6e5bb7aa/19880704-Reagan.pdf"
"19880714A","1988-07-14","Ronald Reagan","Reagan","Second Term","[""Persian Gulf""]","[""Respond to threat""]","Respond to threat by Iranian ""small boats"" after U.S. helicopters were fired upon while responding to distress call by a Panamanian tanker.","[""Air operations""]","""five U.S. helicopters"" responding to a tanker's distress call dispatched were fired on by ""small boats;"" ""the helicopters returned fire, firing rockets and machine gun rounds at the small boats""","[""Nation-state""]","Iran","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""The actions of U.S. forces... were taken... pursuant to my constitutional authority with respect to the conduct of foreign relations and as Commander in Chief. ""","Scope/duration specified","Activity occurred July 12, 1988; ""we regard this incident as closed.""","Yes","1-2 days","No",,"[""Self-Defense""]","""The actions of U.S. forces in response to being attacked by the Iranian small boats were taken in accordance with our inherent right of self-defense, as recognized in Article 51 of the United Nations Charter...""","No","""no casualties or damage to U.S. forces""","Unknown","""it is believed that one of the boats may have been hit with a rocket. The extent of damage to the boat is unknown""","No",,,"[""19870924A"",""19871010A"",""19871020A"",""19880419A"",""19880704A""]","//assets.ctfassets.net/6hn51hpulw83/3RS6lZME2mejpK1FzyxAL0/82404a502034f26ac0c04c31650d9196/19880714-Reagan.pdf"
"19891202A","1989-12-02","George H.W. Bush","H.W. Bush","Only Term","[""Philippines""]","[""Advise/Assist""]","Assist Philippines at government request in response to coup attemp by rebel forces","[""Air operations"",""Use of ground forces""]","Ordered ""armed U.S. aircraft... to establish a protective cover over... to prevent rebel aircraft from taking off.... U.S. aircraft did not fire."" Also ""dispatched a company of U.S. Marines to reinforce Marine guards at our Embassy.""","[""Non-state actor"",""Embassy protection""]","Rebel forces under the leadership of Lieutenant Colonel Gregorio Honasan","Yes, described in/inferred from report","Yes, described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))"",""Combat-equipped introduction (WPR §4(a)(2))""]","[""Constitution (Art. II)""]","""This measured action by U.S. Forces was taken... pursuant to my constitutional authority with respect to the conduct of foreign relations and as Commander in Chief.""","Mission-bound but indeterminate","""At present, I do not foresee the need for U.S. military action in addition to the measures described above. I am prepared, however, to take additional actions to protect the lives of Americans, should they be threatened, and, if requested, to provide further assistance to the Government of the Philippines.""","No","Unknown","Yes","Philippines forces","[""Consent of territorial state""]","""President Aquino formally requested limited U.S. military assistance to support her forces as they attempted to put down the coup.""","No","""There were no U.S. casualties""","Unknown",,"Not applicable because no self-defense claim",,,,"//assets.ctfassets.net/6hn51hpulw83/1s88fYlBG0DPCJzW0fqsJk/fa53d0600daae5e082520a186b3768ca/19891202-HW_Bush.pdf"
"19891221A","1989-12-21","George H.W. Bush","H.W. Bush","Only Term","[""Panama""]","[""Protect US citizens, property""]","""To protect American lives, to defend democracy in Panama, to apprehend Noriega and bring him to trial... and to ensure the integrity of the Panama Canal Treaties""","[""Use of ground forces""]","Deployment of ""approximately 11,000 additional U.S. Forces to Panama. In conjunction with the 13,000 U.S. Forces already present, military operations were initiated on December 20, 1989""","[""Nation-state""]","Manuel Noriega, the ""illegitimate"" Panamanian National Assembly, Panamanian Defense Forces (PDF) ","Yes, described in/inferred from report","No, as described in/inferred from report","Yes, described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))"",""Substantial enlargement (WPR §4(a)(3))""]","[""Constitution (Art. II)""]","""The military operations were ordered pursuant to my constitutional authority with respect to the conduct of foreign relations and as Commander in Chief.""","Mission-bound but indeterminate","""it is not possible at this time to predict the precise scope and duration of the military operations or how long the temporary increase of U.S. Forces in Panama will be required...Our additional Forces will remain in Panama only so long as their presence is required.""","No","Unknown","No",,"[""Self-Defense"",""Consent of territorial state""]","""The deployment of U.S. Forces is an exercise of the right of self-defense recognized in Article 51 of the United Nations Charter and was necessary to protect American lives in imminent danger and to fulfill our responsibilities under the Panama Canal Treaties. It was welcomed by the democratically elected government of Panama.""","Unknown",,"Unknown",,"Yes","S/21035","https://digitallibrary.un.org/record/82618?ln=en",,"//assets.ctfassets.net/6hn51hpulw83/HgT9XWFQsDHNmiUFoh00u/a1589ce1b458183923befdda4aad126d/19891221-HW_Bush.pdf"
"19900806A","1990-08-06","George H.W. Bush","H.W. Bush","Only Term","[""Liberia""]","[""Protect US citizens, property""]","To ""provide additional security at the U.S. Embassy in Monrovia, Liberia""; ""extract American citizens... and a limited number of foreign nationals""; ""purpose of protecting American citizens""; ""not intended to alter or preserve the existing political status quo or to make the U.S. presence felt in any way""","[""Use of naval forces/vessels"",""Use of ground forces""]","""a reinforced rifle company of approximately 237 marines was sent to provide additional security at the U.S. Embassy in Monrovia, Liberia""; ""two helicopter extraction teams, including up to one rifle platoon each, were sent to two communications sites in Liberia to extract American citizens and bring them to U.S. ships in international waters off Liberia. ...Protective cover for these operations was provided by U.S. forces.""","[""Embassy protection"",""Rescue/Evacuation of nationals""]","Rescue of U.S. nationals and embassy protection","No, as stated in report","Yes, described in/inferred from report","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""None provided""]","None stated","Mission-bound but indeterminate","""The reinforced rifle company will remain at the Embassy for as long as its presence is needed.""","No","Unknown","No",,"[""Unknown""]",,"No","""I am pleased to report that no hostilities were encountered and that the extraction of American citizens from the two sites was completed successfully""","No","""I am pleased to report that no hostilities were encountered and that the extraction of American citizens from the two sites was completed successfully""","Not applicable because no self-defense claim",,,,"//assets.ctfassets.net/6hn51hpulw83/4hrDiu8zmEX7n4QlSHRBz0/b57c2e624cb1ca32b67ea68225144f79/19900806-HW_Bush.pdf"
"19900809A","1990-08-09","George H.W. Bush","H.W. Bush","Only Term","[""Saudi Arabia"",""Iraq""]","[""Respond to threat""]","Respond to ""direct threat to neighboring countries and to vital U.S. interests in the Persian Gulf region"" by Iraq; ""They are prepared to take action in concert with Saudi forces, friendly regional forces, and others to deter Iraqi aggression and to preserve the integrity of Saudi Arabia.""","[""Air operations"",""Use of naval forces/vessels"",""Use of ground forces""]","""I ordered the forward deployment of substantial elements of the United States Armed Forces into the region.... Two squadrons of F - 15 aircraft, one brigade of the 82nd Airborne Division, and other elements of the Armed Forces began arriving in Saudi Arabia... Additional U.S. air, naval, and ground Forces also will be deployed.""","[""Nation-state""]","Iraq","No, as stated in report","Yes, stated or used terms in statute","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Constitution (Art. II)""]","""I have taken these actions pursuant to my constitutional authority to conduct our foreign relations and as Commander in Chief.""","Mission-bound but indeterminate","""Although it is not possible to predict the precise scope and duration of this deployment, our Armed Forces will remain so long as their presence is required to contribute to the security of the region and desired by the Saudi government...""","No","Unknown","Yes","""in concert with Saudi forces, friendly regional forces, and others""","[""Self-Defense""]","""These actions are in exercise of our inherent right of individual and collective self-defense.""","No",,"No",,"Yes","S/21492","https://digitallibrary.un.org/record/95821?ln=en","[""19901116A"",""19910118A""]","//assets.ctfassets.net/6hn51hpulw83/ESTj4kVmWSIML3KnDkjyz/08d7bb10d278543eacaefa16ad492d8c/19900809-HW_Bush.pdf"
"19901116A","1990-11-16","George H.W. Bush","H.W. Bush","Only Term","[""Persian Gulf""]","[""Respond to threat""]","""[E]nsure that the coalition has an adequate offensive military option should that be necessary"" in response to ""Iraq's invasion of Kuwait.""","[""Air operations"",""Use of naval forces/vessels"",""Use of ground forces""]","Deployment of ""a heavy U.S. Army Corps and a Marine expeditionary force with an additional brigade. In addition, three aircraft carriers, a battleship, appropriate escort ships, a naval amphibious landing group, and a squadron of maritime prepositioning ships will join other naval units in the area.""","[""Nation-state""]","Iraq","No, as stated in report","No, as described in/inferred from report","Yes, described in/inferred from report","[""Substantial enlargement (WPR §4(a)(3))""]","[""None provided""]","None stated","Mission-bound but indeterminate","""[O]ur Armed Forces would remain in the Persian Gulf region so long as required to contribute to the security of the region and desired by host governments.""","No","Unknown","Yes","""Allied and other friendly governments""","[""Self-Defense""]","""Our Forces are in the Gulf region in the exercise of our inherent right of individual and collective self-defense against Iraq's aggression and consistent with U.N. Security Council resolutions related to Iraq's onging occupation of Kuwait.""","No",,"No",,"No",,,"[""19900809A"",""19910118A""]","//assets.ctfassets.net/6hn51hpulw83/2Fz8mMdcD64MehkUKxfX1n/034a0d540fa78211ea1446261861c315/19901116-HW_Bush.pdf"
